App,Sentiment,Tema,Word,Frequency
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,match,156
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,fake_profile,151
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,fake,143
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,money,137
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,scam,122
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,want,110
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,scammer,109
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,woman,86
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,waste_time,85
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,bot,82
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,app,75
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,account,74
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,pay,74
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,site,64
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,man,58
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,real,54
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,time,48
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,feel,41
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,experience,38
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,start,36
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,waste,34
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,meet,34
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,try,32
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,get_frustrating,32
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,star,32
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,user,32
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,find,32
Hinge,negative,Inseguridad: Perfiles Falsos y Estafas,issue,31
Hinge,negative,Mala Comunicación y Mensajería,profile,184
Hinge,negative,Mala Comunicación y Mensajería,message,166
Hinge,negative,Mala Comunicación y Mensajería,match,152
Hinge,negative,Mala Comunicación y Mensajería,time,124
Hinge,negative,Mala Comunicación y Mensajería,people,82
Hinge,negative,Mala Comunicación y Mensajería,send,67
Hinge,negative,Mala Comunicación y Mensajería,bug,67
Hinge,negative,Mala Comunicación y Mensajería,not_work,65
Hinge,negative,Mala Comunicación y Mensajería,app,65
Hinge,negative,Mala Comunicación y Mensajería,experience,64
Hinge,negative,Mala Comunicación y Mensajería,photo,59
Hinge,negative,Mala Comunicación y Mensajería,picture,57
Hinge,negative,Mala Comunicación y Mensajería,work,55
Hinge,negative,Mala Comunicación y Mensajería,terrible,53
